x[mm] xp[mrad] y[mm] yp[mrad] t[mm/c] p[MeV/c] ID
-5.471407373554940889e+00 -1.695743352495461542e-01 -7.875389711337957621e+00 1.816028078414966496e+00 3.191023085848192568e+05 2.899507519852910264e+03 1.440000000000000000e+02
1.101992479040971773e+01 2.237587777311994541e-01 -1.847042341485755079e+00 3.789409725439554788e-01 3.191194342855096329e+05 2.816840963564226968e+03 6.813500000000000000e+04
-1.878720892522040220e+00 -1.598024606309420281e-01 9.836415120729623540e-01 -4.298349124897773432e-01 3.191097348153165658e+05 2.836045057887105941e+03 5.275900000000000000e+04
5.466607817439648187e+00 1.397969652549471697e-01 -5.224631906551447713e+00 1.346181961888202716e+00 3.191218793010294903e+05 2.874475968342954275e+03 4.244100000000000000e+04
5.453001028845587683e-01 2.167534618453049733e-01 -7.650502794884764057e+01 2.257933816902331969e+01 3.194014593488762621e+05 1.823721335191082972e+03 1.480000000000000000e+02
-1.886503619266166254e+01 1.688283429145840675e-01 4.245652000705632645e+00 -1.680141431052260881e+00 3.191550506484729704e+05 2.800122394504570366e+03 4.300700000000000000e+04
6.363438520516248254e+00 2.925377803202191540e-01 -8.913774081024502749e+00 1.549155406553934133e+00 3.191076660966403433e+05 2.878775783464767756e+03 3.260400000000000000e+04
-3.683573478867194329e+00 -3.281475610505400486e-01 -2.548793835831672183e+00 3.939953605605715503e-01 3.191028961153546115e+05 2.888279446311781157e+03 1.510000000000000000e+02
3.377346881322110583e+00 -2.737882231162637736e-01 -1.109568737058044086e+01 3.809205785959292712e+00 3.191623484604672412e+05 2.733617556772056105e+03 2.770900000000000000e+04
2.886541480042608132e+00 -8.371284170851709186e-03 -1.286780533290798001e+00 2.401585325576762187e-01 3.191050386989183608e+05 2.861303395499985982e+03 3.545600000000000000e+04
8.829678407324681899e+00 5.039520004539473907e-01 7.110958335986543588e-01 -9.272289035839377871e-03 3.191033769506781828e+05 2.873713736986220283e+03 1.540000000000000000e+02
5.879267604700407546e+00 1.273003575579446101e-01 2.858968761784306256e+00 -6.595680256571588851e-01 3.191078215020428179e+05 2.860468797483113121e+03 1.550000000000000000e+02
1.427292712133516517e+01 9.557489518036429432e-01 -1.143533404827812516e+00 -1.120528993976099841e-01 3.191071449795317603e+05 2.887897892420260177e+03 3.184100000000000000e+04
-1.658330135308643705e+00 -8.579632682725348708e-03 2.003423149108819690e+00 -8.207544338380884374e-01 3.191064775157582480e+05 2.851111420629415079e+03 3.734100000000000000e+04
1.413304994101103773e+01 8.345531535961306924e-01 -2.466054528766989495e+00 4.413517484054232942e-01 3.191040165940684965e+05 2.890526569687294341e+03 4.666000000000000000e+04
